IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.153.77,4,4,0.00,119.75,33.82
104.17.173.179,4,4,0.00,92.35,23.49
104.16.148.85,4,4,0.00,123.63,22.93
104.16.241.32,4,4,0.00,110.48,22.53
104.17.63.81,4,4,0.00,114.26,19.50
104.16.151.137,4,4,0.00,116.63,15.77
104.16.145.220,4,4,0.00,123.72,13.14
104.16.159.136,4,4,0.00,109.41,11.66
104.17.160.126,4,4,0.00,99.22,1.23
104.17.175.60,4,4,0.00,113.85,1.16
